DateTime,SM1 Phenyl grignard 210: Peak at 1.537 minutes,SM2 Bromide 210: Peak at 1.869 minutes,PDT 210: Peak at 1.961 minutes
1/30/2025 13:40:14.710,255.9047656,1919060.206,-6500.526687
1/30/2025 13:54:58.090,427232.3506,1484728.816,790463.7175
1/30/2025 14:00:51.896,280637.2465,555241.1218,2635733.65
1/30/2025 14:06:45.012,209416.4679,126049.7925,2928018.999
1/30/2025 14:12:37.836,208337.1373,88946.98035,2930076.339
1/30/2025 14:18:29.951,215832.6389,80532.23292,3008814.558
1/30/2025 14:24:21.699,209942.7824,74390.34186,2955034.748
1/30/2025 14:30:13.891,212172.8102,71450.03452,2965795.833
1/30/2025 14:36:05.092,209665.8231,67876.48613,2949858.014
1/30/2025 14:41:56.195,210127.8807,67185.73125,2963521.379
1/30/2025 14:47:48.219,211347.5725,62986.41459,2957845.151
1/30/2025 14:53:39.759,214690.6411,66871.76925,2997320.691
1/30/2025 14:59:32.598,209159.8136,64426.53211,2946825.966
1/30/2025 15:05:24.468,211424.6909,65342.90005,2976056.88
1/30/2025 15:11:17.162,210523.5167,63667.64815,2972492.299
1/30/2025 15:17:08.642,204046.6026,59851.02363,2929473.654
